game,move,white,black,san,uci,depth,score_cp,nodes,time_ms,link,cpl,is_white
2,15,xq54,ArturBK,Bf4,c1f4,18,-386,1119173,1169,https://lichess.org/LREDvFSY,499,True
2,16,xq54,ArturBK,e5,e7e5,18,-293,426600,399,https://lichess.org/LREDvFSY,93,False
2,17,xq54,ArturBK,Nd5,c3d5,18,-641,1705613,1391,https://lichess.org/LREDvFSY,348,True
2,18,xq54,ArturBK,Nxd5,f6d5,18,-623,835524,731,https://lichess.org/LREDvFSY,18,False
2,19,xq54,ArturBK,exd5,e4d5,18,-685,1884438,1582,https://lichess.org/LREDvFSY,62,True
2,20,xq54,ArturBK,exf4,e5f4,18,-670,7311545,6203,https://lichess.org/LREDvFSY,15,False
2,21,xq54,ArturBK,Re1+,f1e1,18,-673,1268512,993,https://lichess.org/LREDvFSY,3,True
2,22,xq54,ArturBK,Ne5,d7e5,18,-654,1953676,1504,https://lichess.org/LREDvFSY,19,False
2,23,xq54,ArturBK,Nf3,d4f3,18,-723,1933352,1644,https://lichess.org/LREDvFSY,69,True
2,24,xq54,ArturBK,Be7,f8e7,18,-700,1263069,1076,https://lichess.org/LREDvFSY,23,False
2,25,xq54,ArturBK,Nxe5,f3e5,18,-707,650412,526,https://lichess.org/LREDvFSY,7,True
2,26,xq54,ArturBK,dxe5,d6e5,18,-686,1379207,1158,https://lichess.org/LREDvFSY,21,False
2,27,xq54,ArturBK,Qh5,d1h5,18,-678,1458668,1361,https://lichess.org/LREDvFSY,0,True
2,28,xq54,ArturBK,Bd7,c8d7,18,-541,1877693,1651,https://lichess.org/LREDvFSY,137,False
2,29,xq54,ArturBK,Rxe5,e1e5,18,-563,3157377,2705,https://lichess.org/LREDvFSY,22,True
2,30,xq54,ArturBK,g6,g7g6,18,-112,339470,359,https://lichess.org/LREDvFSY,451,False
2,31,xq54,ArturBK,Qe2,h5e2,18,-114,569431,622,https://lichess.org/LREDvFSY,2,True
2,32,xq54,ArturBK,Bb5,d7b5,18,455,636606,678,https://lichess.org/LREDvFSY,569,False
2,33,xq54,ArturBK,Re1,a1e1,18,425,851845,951,https://lichess.org/LREDvFSY,30,True
2,34,xq54,ArturBK,O-O,e8g8,18,447,818141,852,https://lichess.org/LREDvFSY,22,False
2,35,xq54,ArturBK,Rxe7,e5e7,18,435,984059,1081,https://lichess.org/LREDvFSY,12,True
2,36,xq54,ArturBK,Qd6,c7d6,18,543,689183,697,https://lichess.org/LREDvFSY,108,False
2,37,xq54,ArturBK,Bxb5,d3b5,18,497,984534,907,https://lichess.org/LREDvFSY,46,True
2,38,xq54,ArturBK,axb5,a6b5,18,504,545613,483,https://lichess.org/LREDvFSY,7,False
2,39,xq54,ArturBK,Qxb5,e2b5,18,515,1556567,1275,https://lichess.org/LREDvFSY,0,True
2,40,xq54,ArturBK,Rxa2,a8a2,18,454,990147,960,https://lichess.org/LREDvFSY,0,False
2,41,xq54,ArturBK,Qxb7,b5b7,18,538,2012996,1661,https://lichess.org/LREDvFSY,0,True
2,42,xq54,ArturBK,f3,f4f3,18,533,568240,484,https://lichess.org/LREDvFSY,0,False
2,43,xq54,ArturBK,Qc6,b7c6,18,-693,794106,562,https://lichess.org/LREDvFSY,1226,True
2,44,xq54,ArturBK,Qb4,d6b4,18,611,1221463,869,https://lichess.org/LREDvFSY,1304,False
